id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,images
10062,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Puma Men Puma runhard tee Grey Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763394409/10062_gu3wum.jpg""]"
10857,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Rider Striper Polo White T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737594/10857_srruas.jpg""]"
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Reglur Black Trousers,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400076/10259_wa7rmu.jpg""]"
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015,Casual,Clarks Women Brown Leather Heels,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400054/10292_ftaqyi.jpg""]"
10266,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Clarks Men Goto Hi Cola Suede Brown Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400083/10266_sdir5y.jpg""]"
10054,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011,Kids,Kids Springbok Rugby World Cup Replica Jersey Green,"[""https://tse2.mm.bing.net/th/id/OIP.j1KI4uEPtiAAhXIe0AcZMQHaJ4?cb=ucfimg2&ucfimg=1&rs=1&pid=ImgDetMain&o=7&rm=3""]"
10430,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Flying Machine Men Ydc Blue Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728629/10430_awdydh.jpg""]"
10602,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Sports,Nike Men Football Soccer Red Jerseys,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729910/10602_jkxkak.jpg""]"
10850,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Wrangler Men Famous Filafil Blue T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737582/10850_w3ntvv.jpg""]"
10408,Women,Apparel,Topwear,Tops,Black,Fall,2011,Casual,United Colors of Benetton Women Solid Black Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728957/10408_dopocq.jpg""]"
10098,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Fastrack Men Analogue Plastic White Watch,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395626/10098_kldy5a.jpg""]"
10605,Women,Accessories,Watches,Watches,Pink,Winter,2016,Casual,Esprit Women Houston Funny Pink Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729911/10605_wsp87z.jpg""]"
10437,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Flying Machine Men HS Green Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728752/10437_dgauc7.jpg""]"
10053,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Gini And Jony Vini Romper Pink T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763394410/10053_kkyt2b.jpg""]"
10261,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011,Formal,John Miller Men Slim Brown Trousers,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400078/10261_zshhdj.jpg""]"
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016,Casual,Clarks Men Brown Leather Casual Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400059/10295_gnebmi.jpg""]"
10463,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Flying Machine Men Grey Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402482/10463_luyngq.jpg""]"
10235,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Carrera Men Hexagaon Dial Black Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763475578/10235_z4ealp.jpg""]"
10007,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Trophy Swo White T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763391301/10007_fzvvgv.jpg""]"
10497,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Flying Machine Women RN HS White Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402642/10497_goqsb8.jpg""]"
10804,Men,Footwear,Flip Flops,Flip Flops,White,Fall,2011,Casual,Wrangler Men Rider Solid White Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734151/10804_krweiy.jpg""]"
10490,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Flying Machine Men HS Blue Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402598/10490_mcxvas.jpg""]"
10000,Women,Apparel,Bottomwear,Skirts,White,Summer,2011,Casual,Palm Tree Girls Sp Jace Sko White Skirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763383579/10000_adx4pg.jpg""]"
10656,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Girl Little frock Pink Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732530/10656_c8yvbp.jpg""]"
10464,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Flying Machine Men Mauvemist Pink Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402482/10464_tfmkv7.jpg""]"
10669,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Doodle Boy Road Trip Grey Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732538/10669_zh9mph.jpg""]"
10803,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Wrangler Men Dodge Broad Accent Check White Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734150/10803_rfy6jc.jpg""]"
10694,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Girl Be Born Pink Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732562/10694_gvjarc.jpg""]"
10660,Women,Apparel,Bottomwear,Shorts,Blue,Fall,2011,Casual,Doodle Girl Hot shorts ice wash Blue Shorts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732531/10660_ykqoup.jpg""]"
10452,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Flying Machine Men HS Grey Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402380/10452_elqyjr.jpg""]"
10204,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Murcia Women Hahk Purple Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398573/10204_iy9gkk.jpg""]"
10499,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Flying Machine Women Aspen Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402656/10499_bvqmeh.jpg""]"
10835,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Wrangler Men Black Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734197/10835_cyphzi.jpg""]"
10009,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Sports,Nike Men Town Round Red Neck T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763391301/10009_awgi3x.jpg""]"
10203,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Hahk Red Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763475449/10203_hgreas.jpg""]"
10031,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men As Arsenal Co Navy Blue T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763412263/10031_whdvse.jpg""]"
10455,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Flying Machine Men Mauvemist Purple Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402381/10455_lcl3u7.jpg""]"
10693,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Doodle Girl Cute Purple Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732561/10693_wcrggy.jpg""]"
10658,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Girl Little frock White Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732530/10658_j37lrh.jpg""]"
10832,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Wrangler Men American Music Folk Green T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734191/10832_zngxyy.jpg""]"
10099,Men,Accessories,Watches,Watches,Grey,Winter,2016,Formal,Fastrack Men Analogue Grey Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395627/10099_dnlvkb.jpg""]"
10851,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Wrangler Men Applique Polo Brown T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737586/10851_ziwrwi.jpg""]"
10409,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,United Colors of Benetton Men Green Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728958/10409_onnzvx.jpg""]"
10294,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012,Formal,Clarks Men Feeling Good Leather Brown Formal Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400058/10294_rwlnlr.jpg""]"
10436,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Flying Machine Men Pink Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728752/10436_zium6e.jpg""]"
10604,Unisex,Accessories,Headwear,Caps,Red,Fall,2011,Sports,Nike Unisex Tennis Red Caps,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729910/10604_pnzpcd.jpg""]"
10260,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011,Formal,John Miller Men Line Grey Trousers,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400076/10260_rqse4z.jpg""]"
10052,Women,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Puma Women Trunk Black Shorts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763394410/10052_hdtdap.jpg""]"
10258,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011,Formal,John Miller Men Line Navy Blue Trousers,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400074/10258_d2tvbw.jpg""]"
10856,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Wrangler Men Black Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737593/10856_mvcirk.jpg""]"
10869,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Fly The Wind White T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737611/10869_w9syql.jpg""]"
10267,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Clarks Men Rocco Fuse Black Leather Black Casual Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400087/10267_dmyl9c.jpg""]"
10603,Unisex,Accessories,Headwear,Caps,Grey,Fall,2011,Sports,Nike Unisex Tennis Grey Caps,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729910/10603_pkvoqt.jpg""]"
10431,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,Flying Machine Men Ydc Grey Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728628/10431_cufqv7.jpg""]"
10293,Men,Footwear,Sandal,Sandals,Brown,Spring,2012,Casual,Clarks Men Unstructured Leather Brown Sandals,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400055/10293_cqkgfu.jpg""]"
10438,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Flying Machine Men Midrise Blue Jeans,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728753/10438_qczyxp.jpg""]"
10635,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Carlton London Men Semi oxfords Black Casual Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732508/10635_cyoren.jpg""]"
10407,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Formal,United Colors of Benetton Men Solid Grey Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728957/10407_raeenb.jpg""]"
10063,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men spine tee Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395792/10063_l6pwae.jpg""]"
10097,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Reeflex Run White Sports Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395625/10097_e5uwmp.jpg""]"
10867,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Navy Blue Tough Service Navy T-shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737609/10867_mgkwyg.jpg""]"
10269,Women,Footwear,Shoes,Flats,Red,Winter,2013,Casual,Clarks Women Silvi Spice Raspberry Leather Red Flats,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400089/10269_zicaov.jpg""]"
10256,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Locomotive Men Stripes Green Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400071/10256_lwucji.jpg""]"
10858,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Furious Rides White T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737595/10858_bstg05.jpg""]"
10064,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men puma shield tee Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395628/10064_dbabpa.jpg""]"
10400,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Puma Women Flux Shadow  266 Black Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401136/10400_m8srfj.jpg""]"
10632,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2012,Casual,Carlton London Men Brown Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732506/10632_xk9njn.jpg""]"
10692,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Doodle Boy Casual Red Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732561/10692_j6ds97.jpg""]"
10030,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Women As See The Win Black T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763412262/10030_tpheac.jpg""]"
10202,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Asjke Green Green Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398560/10202_gqspq9.jpg""]"
10454,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Flying Machine Men Gloden Haze Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402380/10454_mpp0qt.jpg""]"
10833,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Rope Embro Polo Red T-Shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734192/10833_utyej5.jpg""]"
10453,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Flying Machine Men Gloden Haze Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402380/10453_vhoikh.jpg""]"
10661,Women,Apparel,Bottomwear,Shorts,Blue,Fall,2011,Casual,Doodle Girl Hot  Ice Wash Blue Shorts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732534/10661_sheutm.jpg""]"
10205,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Rubena Brown Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763475450/10205_b9uc6a.jpg""]"
10037,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Premier ultra 8 U-form Silver Sports Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763412315/10037_ihnvqw.jpg""]"
10008,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men Town Navy Blue T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763391304/10008_ukc9ke.jpg""]"
10834,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Wrangler Men Grey Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734194/10834_qyrgnx.jpg""]"
10498,Women,Apparel,Topwear,Tops,Navy Blue,Fall,2011,Casual,Flying Machine Women RN Blue Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402655/10498_xpyml5.jpg""]"
10001,Girls,Apparel,Bottomwear,Skirts,Blue,Summer,2011,Kids,Palm Tree Kids Girls Sp Jema Skt Blue Skirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763383579/10001_qjxrcs.jpg""]"
10465,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Flying Machine Men Paisley Purple Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402484/10465_cqqzqs.jpg""]"
10491,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Flying Machine Women HS White Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402599/10491_gr4yqc.jpg""]"
10802,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Wrangler Men Dodge Broad Accent Check Blue Shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734146/10802_hxgvfe.jpg""]"
10496,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Flying Machine Women RN White Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402642/10496_uad6st.jpg""]"
10650,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Doodle Boy Grand Prix Navy Blue Shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732524/10650_yc5rtk.jpg""]"
10462,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Flying Machine Men White Polo Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763402480/10462_mwg5pa.jpg""]"
10006,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Men AS T90 Black Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763391301/10006_tyn4r2.jpg""]"
10039,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Raceon White Sports Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763412334/10039_hwsixs.jpg""]"
10805,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Wrangler Men Rider Solid Black Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734151/10805_gdrsrn.jpg""]"
10379,Women,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,United Colors of Benetton Women Solid Red T-shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401071/10379_k2cgqn.jpg""]"
10174,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors Of Benetton Men Latnam Black Casual Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398447/10174_kt9kz9.jpg""]"
10346,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,United Colors of Benetton Women Printed Purple Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763727513/10346_ph050g.jpg""]"
10722,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Nike Men Casual short sleeve tshirt White Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734217/10722_ycvpui.jpg""]"
10510,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Flying Machine Women RN HS Grey Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729931/10510_kmfgdi.jpg""]"
10180,Men,Footwear,Flip Flops,Flip Flops,Yellow,Fall,2011,Casual,United Colors of Benetton Men Speeder Yellow Flip Flops,"[""https://m.media-amazon.com/images/I/61sW69IMFBL._AC_SY500_.jpg""]"
10187,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Indigo Nation Men Hot Stepper Black Blue Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398523/10187_hpc5pd.jpg""]"
10517,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,New Balance MC900 Men Others Tennis White Sports Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729856/10517_xddx7g.jpg""]"
10725,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Green Green Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734224/10725_oiyf8c.jpg""]"
10341,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,United Colors of Benetton Men Printed Pink Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763727512/10341_li4bmb.jpg""]"
10173,Men,Footwear,Sandal,Sandals,Brown,Fall,2011,Casual,United Colors of Benetton Men Tango Brown Sandals,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398445/10173_zminc1.jpg""]"
10348,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,United Colors of Benetton Women Printed Yellow T-shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763727513/10348_txns9y.jpg""]"
10383,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Puma Men Star Dust 145 White Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401078/10383_oxnurf.jpg""]"
10377,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,United Colors of Benetton Men Printed White Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401068/10377_wgorf1.jpg""]"
10145,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Drsp Wingtip Brown Formal Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763507897/10145_purbio.jpg""]"
10713,Women,Apparel,Bottomwear,Capris,Blue,Winter,2011,Sports,Nike Women Blue Dri-Fit Capris,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732584/10713_msgpdh.jpg""]"
10189,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Hot Stepper Blue Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763398537/10189_ncom5y.jpg""]"
10714,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2011,Sports,Nike Women Trainng track pants Black Track Pants,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732585/10714_wctizi.jpg""]"
10142,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Captoe Brown Casual Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763412878/10142_ffbafx.jpg""]"
10370,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,United Colors of Benetton Women White T-shirt,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401059/10370_tcgui7.jpg""]"
10384,Women,Accessories,Watches,Watches,Purple,Winter,2016,Casual,Puma Women Fluctuation Stones 159 Blue Watch,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763401080/10384_v2zpm2.jpg""]"
10572,Men,Apparel,Topwear,Sweaters,Red,Fall,2011,Casual,Puma Men Knitted Red Sweaters,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729874/10572_r90tea.jpg""]"
10740,Unisex,Footwear,Flip Flops,Flip Flops,Green,Winter,2012,Kids,Disney Unisex Kids Pluto Green Flip Flops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763734068/10740_wqs7i2.jpg""]"
10324,Women,Apparel,Topwear,Tops,Black,Fall,2011,Casual,Puma Women Heather USP Black Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763727510/10324_mykvpj.jpg""]"
10129,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Jefford Brown Formal Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763507901/10129_ditwab.jpg""]"
10581,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Men Athletic Black Steel Watches,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763729883/10581_rnnec0.jpg""]"
